Filename,Noun Freq,Verb Freq,Adj Freq,Adv Freq,Unique PER,Unique LOC,Unique ORG
0103.b1.txt,2045.95,1017.51,962.8,240.7,"{'Aftonbladet 11/9-99', 'Lund'}",set(),"{'AMV', 'LO', 'the county administrative board'}"
0105.b1.txt,2024.97,1040.22,679.61,859.92,set(),set(),{'falukorv'}
0122.b1.txt,2131.15,1206.09,761.12,515.22,set(),set(),set()
0134.b1.txt,1995.52,1008.97,807.17,661.43,set(),set(),set()
0139.b1.txt,1885.71,1211.43,742.86,457.14,set(),set(),set()
0140.b1.txt,2160.49,1024.69,728.4,543.21,set(),set(),set()
0165.b1.txt,2026.58,963.46,575.86,598.01,"{'Andy Warhol', 'Marilyn Monroe', ""Yoko Ono's"", 'Salvador Dali', 'Magritte', 'Bildjournalen', 'René Magritte', 'Dali', 'Duchamp'}",set(),set()
0171.b1.txt,2080.1,1007.75,633.07,581.4,"{'Dagens Nyheter', 'Utbildningsradion och Bokförlaget', 'http://www.dn.se/Dnet/articles/88300-88399/88343/pappa5.html'}",set(),set()
0200.b1.txt,2206.98,1059.85,785.54,822.94,set(),{'Europe'},"{'SCB', 'the National Statistics Office of Sweden'}"
0300.b1.txt,1657.7,914.96,1162.54,570.51,"{'Tommy Möller', 'Forselius', 'Thomas', 'partipolitiken', 'Anders Westerholm', 'Moderaterna', 'Möller', 'Bo Lundgren', 'Tilda Maria', 'Mats', 'Ungdomar vänder partierna ryggen', 'Larsson', 'Skolvärlden', 'Larsson 1995:17', 'Bäck'}",set(),"{'Amnesty International and Greenpeace', 'Bäck & Möller199', 'Alkohol & Narkotika 5:12-13'}"
0304.b1.txt,1770.33,1307.81,749.6,622.01,{'Hesslind 1988:81'},set(),set()
0307.b1.txt,2070.87,852.71,697.67,287.93,"{'Rudolf Steiner', 'Wallenberg', 'Helena Blavatsky', 'Bra Böckers Lexikon', 'Vetenskap eller bluff', 'Jacob Wallenberg', 'Alice Bailey', 'Bailey', 'Zen Buddhism', 'Ahlström', 'Akademiker', 'Gabriella Ahlström'}",set(),"{'Telia', 'General Motors', 'Vadstena'}"
0308.b1.txt,1915.71,977.01,929.12,727.97,{'Maslow'},set(),set()
0310.b1.txt,2034.88,965.12,709.3,639.53,"{'Margot Wallström', 'Nya Handla Miljövänligt', 'Katrineholm', 'Holm', 'Fredrik'}",set(),"{'Thunberg, Bo', 'EU', 'the European Board of Ministers', 'Naturskyddsföreningen Förlag AB\n'}"
0313.b1.txt,1715.53,1064.06,651.47,738.33,set(),set(),{'Alcohol'}
1003.b1.txt,2082.87,963.05,974.24,459.13,"{'nr7-8', 'Brombergs\n', 'Skolvärlden', 'Oppenheim Florence', 'Greedier Göran', 'Rössner Stefan'}",set(),"{'Feta Hotet""Ordfront', 'the University of Gothenburg (Oppenheim2000', 'Greider1999', 'WHO', 'ungdomar blir'}"
